timestamp, frameNumber, roiName, z, drPixel, drRef, confidence, userData
2.960252, 11, B37B3544, 190.000000, [0 0 4], [0 0 4], [0.0632368475198746 0.0632368475198746 0.0632368475198746], 
2.960252, 11, A50F49E7, 190.000000, [0 0 3], [0 0 3], [0.0649404153227806 0.0649404153227806 0.0649404153227806], 
2.960252, 11, 1B96C00C, 190.000000, [0 1 23], [0 0.03125 23], [0.0348873101174831 0.0348873101174831 0.0348873101174831], 
2.960252, 11, 89A42D1A, 190.000000, [0 0 5], [0 0 5], [0.0296662207692862 0.0296662207692862 0.0296662207692862], 
2.960252, 11, 9531C9E8, 190.000000, [0 0 8], [0 0 8], [0.03825818374753 0.03825818374753 0.03825818374753], 
2.960252, 11, 98E2D7D2, 190.000000, [0 0 6], [0 0 6], [0.0231390651315451 0.0231390651315451 0.0231390651315451], 
2.960252, 11, CCE52F79, 190.000000, [0 0 -12], [0 0 -12], [0.0204439535737038 0.0204439535737038 0.0204439535737038], 
3.256278, 12, B37B3544, 190.000000, [0 0 9], [0 0 9], [0.0613862574100494 0.0613862574100494 0.0613862574100494], 
3.256278, 12, A50F49E7, 190.000000, [0 0 3], [0 0 3], [0.0675346255302429 0.0675346255302429 0.0675346255302429], 
3.256278, 12, 1B96C00C, 190.000000, [0 0 9], [0 0 9], [0.0357716232538223 0.0357716232538223 0.0357716232538223], 
3.256278, 12, 89A42D1A, 190.000000, [0 -1 -17], [0 -0.03125 -17], [0.0254025422036648 0.0254025422036648 0.0254025422036648], 
3.256278, 12, 9531C9E8, 190.000000, [0 0 3], [0 0 3], [0.0420385338366032 0.0420385338366032 0.0420385338366032], 
3.256278, 12, 98E2D7D2, 190.000000, [0 2 -5], [0 0.0625 -5], [0.0261064097285271 0.0261064097285271 0.0261064097285271], 
3.256278, 12, CCE52F79, 190.000000, [0 2 25], [0 0.0625 25], [0.0239231996238232 0.0239231996238232 0.0239231996238232], 
